Country/Region,Date,Total Number of Cases
Brazil,1/22/2020,0
Brazil,1/23/2020,0
Brazil,1/24/2020,0
Brazil,1/25/2020,0
Brazil,1/26/2020,0
Brazil,1/27/2020,0
Brazil,1/28/2020,0
Brazil,1/29/2020,0
Brazil,1/30/2020,0
Brazil,1/31/2020,0
Brazil,2/1/2020,0
Brazil,2/2/2020,0
Brazil,2/3/2020,0
Brazil,2/4/2020,0
Brazil,2/5/2020,0
Brazil,2/6/2020,0
Brazil,2/7/2020,0
Brazil,2/8/2020,0
Brazil,2/9/2020,0
Brazil,2/10/2020,0
Brazil,2/11/2020,0
Brazil,2/12/2020,0
Brazil,2/13/2020,0
Brazil,2/14/2020,0
Brazil,2/15/2020,0
Brazil,2/16/2020,0
Brazil,2/17/2020,0
Brazil,2/18/2020,0
Brazil,2/19/2020,0
Brazil,2/20/2020,0
Brazil,2/21/2020,0
Brazil,2/22/2020,0
Brazil,2/23/2020,0
Brazil,2/24/2020,0
Brazil,2/25/2020,0
Brazil,2/26/2020,1
Brazil,2/27/2020,1
Brazil,2/28/2020,1
Brazil,2/29/2020,2
Brazil,3/1/2020,2
Brazil,3/2/2020,2
Brazil,3/3/2020,2
Brazil,3/4/2020,4
Brazil,3/5/2020,4
Brazil,3/6/2020,13
Brazil,3/7/2020,13
Brazil,3/8/2020,20
Brazil,3/9/2020,25
Brazil,3/10/2020,31
Brazil,3/11/2020,38
Brazil,3/12/2020,52
Brazil,3/13/2020,151
Brazil,3/14/2020,151
Brazil,3/15/2020,162
Brazil,3/16/2020,200
Brazil,3/17/2020,321
Brazil,3/18/2020,372
Brazil,3/19/2020,621
Brazil,3/20/2020,793
Brazil,3/21/2020,1021
Brazil,3/22/2020,1546
Brazil,3/23/2020,1924
Brazil,3/24/2020,2247
Brazil,3/25/2020,2554
Brazil,3/26/2020,2985
Brazil,3/27/2020,3417
Brazil,3/28/2020,3904
Brazil,3/29/2020,4256
Brazil,3/30/2020,4579
Brazil,3/31/2020,5717
Brazil,4/1/2020,6836
Brazil,4/2/2020,8044
Brazil,4/3/2020,9056
Brazil,4/4/2020,10360
Brazil,4/5/2020,11130
Brazil,4/6/2020,12161
Brazil,4/7/2020,14034
Brazil,4/8/2020,16170
Brazil,4/9/2020,18092
Brazil,4/10/2020,19638
Brazil,4/11/2020,20727
Brazil,4/12/2020,22192
Brazil,4/13/2020,23430
Brazil,4/14/2020,25262
Brazil,4/15/2020,28320
Brazil,4/16/2020,30425
Brazil,4/17/2020,33682
Brazil,4/18/2020,36658
Brazil,4/19/2020,38654
Brazil,4/20/2020,40743
Brazil,4/21/2020,43079
Brazil,4/22/2020,45757
Brazil,4/23/2020,50036
Brazil,4/24/2020,54043
Brazil,4/25/2020,59324
Brazil,4/26/2020,63100
Brazil,4/27/2020,67446
Brazil,4/28/2020,73235
Brazil,4/29/2020,79685
Brazil,4/30/2020,87187
Brazil,5/1/2020,92202
Brazil,5/2/2020,97100
Brazil,5/3/2020,101826
Brazil,5/4/2020,108620
Brazil,5/5/2020,115455
Brazil,5/6/2020,126611
Brazil,5/7/2020,135773
Brazil,5/8/2020,146894
Brazil,5/9/2020,156061
Brazil,5/10/2020,162699
Brazil,5/11/2020,169594
Brazil,5/12/2020,178214
Brazil,5/13/2020,190137
Brazil,5/14/2020,203165
Brazil,5/15/2020,220291
Brazil,5/16/2020,233511
Brazil,5/17/2020,241080
Brazil,5/18/2020,255368
Brazil,5/19/2020,271885
Brazil,5/20/2020,291579
Brazil,5/21/2020,310087
Brazil,5/22/2020,330890
Brazil,5/23/2020,347398
Brazil,5/24/2020,363211
Brazil,5/25/2020,374898
Brazil,5/26/2020,391222
Brazil,5/27/2020,411821
Brazil,5/28/2020,438238
Brazil,5/29/2020,465166
Brazil,5/30/2020,498440
Brazil,5/31/2020,514849
Brazil,6/1/2020,526447
Brazil,6/2/2020,555383
Brazil,6/3/2020,584016
Brazil,6/4/2020,614941
Brazil,6/5/2020,645771
Brazil,6/6/2020,672846
Brazil,6/7/2020,691758
Brazil,6/8/2020,707412
Brazil,6/9/2020,739503
Brazil,6/10/2020,772416
Brazil,6/11/2020,802828
Brazil,6/12/2020,828810
Brazil,6/13/2020,850514
Brazil,6/14/2020,867624
Brazil,6/15/2020,888271
Brazil,6/16/2020,923189
Brazil,6/17/2020,955377
Brazil,6/18/2020,978142
Brazil,6/19/2020,1032913
Brazil,6/20/2020,1067579
Brazil,6/21/2020,1083341
Brazil,6/22/2020,1106470
Brazil,6/23/2020,1145906
Brazil,6/24/2020,1188631
Brazil,6/25/2020,1228114
Brazil,6/26/2020,1274974
Brazil,6/27/2020,1313667
Brazil,6/28/2020,1344143
Brazil,6/29/2020,1368195
Brazil,6/30/2020,1402041
Brazil,7/1/2020,1448753
Brazil,7/2/2020,1496858
Brazil,7/3/2020,1539081
Brazil,7/4/2020,1577004
Brazil,7/5/2020,1603055
Brazil,7/6/2020,1623284
Brazil,7/7/2020,1668589
Brazil,7/8/2020,1713160
Brazil,7/9/2020,1755779
Brazil,7/10/2020,1800827
Brazil,7/11/2020,1839850
Brazil,7/12/2020,1864681
Brazil,7/13/2020,1884967
Brazil,7/14/2020,1926824
Brazil,7/15/2020,1966748
Brazil,7/16/2020,2012151
Brazil,7/17/2020,2046328
Brazil,7/18/2020,2074860
Brazil,7/19/2020,2098389
Brazil,7/20/2020,2118646
Brazil,7/21/2020,2159654
Brazil,7/22/2020,2227514
Brazil,7/23/2020,2287475
Brazil,7/24/2020,2343366
Brazil,7/25/2020,2394513
Brazil,7/26/2020,2419091
Brazil,7/27/2020,2442375
Brazil,7/28/2020,2483191
Brazil,7/29/2020,2552265
Brazil,7/30/2020,2610102
Brazil,7/31/2020,2662485
Canada,1/22/2020,0
Canada,1/23/2020,0
Canada,1/24/2020,0
Canada,1/25/2020,0
Canada,1/26/2020,0
Canada,1/27/2020,0
Canada,1/28/2020,0
Canada,1/29/2020,0
Canada,1/30/2020,0
Canada,1/31/2020,0
Canada,2/1/2020,0
Canada,2/2/2020,0
Canada,2/3/2020,0
Canada,2/4/2020,0
Canada,2/5/2020,0
Canada,2/6/2020,0
Canada,2/7/2020,0
Canada,2/8/2020,0
Canada,2/9/2020,0
Canada,2/10/2020,0
Canada,2/11/2020,0
Canada,2/12/2020,0
Canada,2/13/2020,0
Canada,2/14/2020,0
Canada,2/15/2020,0
Canada,2/16/2020,0
Canada,2/17/2020,0
Canada,2/18/2020,0
Canada,2/19/2020,0
Canada,2/20/2020,0
Canada,2/21/2020,0
Canada,2/22/2020,0
Canada,2/23/2020,0
Canada,2/24/2020,0
Canada,2/25/2020,0
Canada,2/26/2020,0
Canada,2/27/2020,0
Canada,2/28/2020,0
Canada,2/29/2020,0
Canada,3/1/2020,0
Canada,3/2/2020,0
Canada,3/3/2020,0
Canada,3/4/2020,0
Canada,3/5/2020,0
Canada,3/6/2020,1
Canada,3/7/2020,2
Canada,3/8/2020,4
Canada,3/9/2020,7
Canada,3/10/2020,7
Canada,3/11/2020,19
Canada,3/12/2020,19
Canada,3/13/2020,29
Canada,3/14/2020,29
Canada,3/15/2020,39
Canada,3/16/2020,56
Canada,3/17/2020,74
Canada,3/18/2020,97
Canada,3/19/2020,119
Canada,3/20/2020,146
Canada,3/21/2020,195
Canada,3/22/2020,259
Canada,3/23/2020,301
Canada,3/24/2020,359
Canada,3/25/2020,358
Canada,3/26/2020,486
Canada,3/27/2020,542
Canada,3/28/2020,542
Canada,3/29/2020,621
Canada,3/30/2020,661
Canada,3/31/2020,690
Canada,4/1/2020,754
Canada,4/2/2020,969
Canada,4/3/2020,969
Canada,4/4/2020,1075
Canada,4/5/2020,1181
Canada,4/6/2020,1250
Canada,4/7/2020,1373
Canada,4/8/2020,1373
Canada,4/9/2020,1423
Canada,4/10/2020,1451
Canada,4/11/2020,1567
Canada,4/12/2020,1567
Canada,4/13/2020,1732
Canada,4/14/2020,1870
Canada,4/15/2020,1870
Canada,4/16/2020,1996
Canada,4/17/2020,2397
Canada,4/18/2020,2562
Canada,4/19/2020,2803
Canada,4/20/2020,2908
Canada,4/21/2020,3095
Canada,4/22/2020,3401
Canada,4/23/2020,3720
Canada,4/24/2020,4017
Canada,4/25/2020,4233
Canada,4/26/2020,4480
Canada,4/27/2020,4696
Canada,4/28/2020,4850
Canada,4/29/2020,5165
Canada,4/30/2020,5355
Canada,5/1/2020,5573
Canada,5/2/2020,5670
Canada,5/3/2020,5766
Canada,5/4/2020,5836
Canada,5/5/2020,5893
Canada,5/6/2020,5963
Canada,5/7/2020,6017
Canada,5/8/2020,6098
Canada,5/9/2020,6157
Canada,5/10/2020,6253
Canada,5/11/2020,6300
Canada,5/12/2020,6345
Canada,5/13/2020,6407
Canada,5/14/2020,6457
